rank,waveform,modulation,usable_ber_threshold,warning_ber_threshold,usable_failure_threshold_snr_db,degraded_threshold_snr_db,perfect_threshold_snr_db,usable_snr_points,degraded_or_better_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,best_ber,worst_ber
1,chirp,psk,0.01,0.05,-12.0,-14.0,-10.0,22,23,31,0.06190702087286527,0.9380929791271346,0.0,0.3700980392156863
2,triangle,psk,0.01,0.05,-12.0,-12.0,-8.0,22,22,31,0.0698134092346616,0.9301865907653384,0.0,0.4338235294117647
3,square,psk,0.01,0.05,-10.0,-14.0,-8.0,21,23,31,0.06601834282099936,0.9339816571790006,0.0,0.3700980392156863
4,gaussian_pulse,psk,0.01,0.05,-10.0,-14.0,-10.0,21,23,31,0.06617647058823531,0.9338235294117646,0.0,0.4093137254901961
5,sine,psk,0.01,0.05,-10.0,-12.0,-8.0,21,22,31,0.06696710942441492,0.933032890575585,0.0,0.3946078431372549
6,sawtooth,psk,0.01,0.05,-8.0,-10.0,-6.0,20,21,31,0.08523086654016446,0.9147691334598356,0.0,0.39460784313725483
7,chirp,fsk,0.01,0.05,-8.0,-8.0,-6.0,20,20,31,0.11385199240986717,0.8861480075901329,0.0,0.49019607843137253
8,square,fsk,0.01,0.05,-8.0,-8.0,-6.0,20,20,31,0.11638203668564198,0.8836179633143579,0.0,0.5147058823529411
9,gaussian_pulse,fsk,0.01,0.05,-6.0,-10.0,-4.0,19,21,31,0.1159076533839342,0.8840923466160657,0.0,0.4803921568627451
10,triangle,fsk,0.01,0.05,-6.0,-8.0,-6.0,19,20,31,0.11820050600885515,0.8817994939911449,0.0,0.4950980392156863
11,sine,fsk,0.01,0.05,-6.0,-8.0,-4.0,19,20,31,0.11867488931056294,0.8813251106894371,0.0,0.5196078431372549
12,pulse,fsk,0.01,0.05,-6.0,-8.0,-2.0,19,20,31,0.12294433902593295,0.8770556609740671,0.0,0.5220588235294117
13,sawtooth,fsk,0.01,0.05,-6.0,-8.0,-6.0,19,20,31,0.12405123339658444,0.8759487666034156,0.0,0.5661764705882353
14,chirp,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16397849462365593,0.836021505376344,0.0,0.5073529411764706
15,pulse,ask,0.01,0.05,-2.0,-4.0,-2.0,17,18,31,0.1644528779253637,0.8355471220746363,0.0,0.5122549019607843
16,sawtooth,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16492726122707146,0.8350727387729285,0.0,0.49754901960784315
17,gaussian_pulse,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16508538899430739,0.8349146110056926,0.0,0.5269607843137255
18,square,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16603415559772294,0.833965844402277,0.0,0.5147058823529411
19,triangle,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16737824161922832,0.8326217583807717,0.0,0.5024509803921569
20,sine,ask,0.01,0.05,-2.0,-4.0,0.0,17,18,31,0.16864326375711577,0.8313567362428843,0.0,0.5147058823529412
21,pulse,psk,0.01,0.05,not_reached,not_reached,not_reached,0,0,31,0.2816255534471854,0.7183744465528146,0.19852941176470587,0.428921568627451
