waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,worst_ber,best_ber
chirp,fsk,attenuation,-4.0,4,7,0.051339285714285705,0.9486607142857143,0.6428571428571429,0.2552083333333333,0.0
chirp,fsk,baseline_awgn,-4.0,4,7,0.05022321428571429,0.9497767857142857,0.6428571428571429,0.24869791666666666,0.0
chirp,fsk,frequency_drift,not_reached,0,7,0.1642485119047619,0.835751488095238,0.0,0.41015625,0.040364583333333336
chirp,fsk,multipath_echo,-4.0,4,7,0.06343005952380952,0.9365699404761906,0.619047619047619,0.2877604166666667,0.0
chirp,fsk,narrowband_interference,-4.0,4,7,0.05915178571428571,0.9408482142857143,0.6666666666666666,0.2643229166666667,0.0
chirp,fsk,phase_jitter,-4.0,4,7,0.05468750000000001,0.9453125,0.619047619047619,0.2565104166666667,0.0
chirp,fsk,timing_offset,not_reached,0,7,0.3121279761904762,0.6878720238095238,0.0,0.4322916666666667,0.2630208333333333
chirp,psk,attenuation,-8.0,5,7,0.010416666666666666,0.9895833333333334,0.7619047619047619,0.053385416666666664,0.0
chirp,psk,baseline_awgn,-12.0,6,7,0.011532738095238094,0.9884672619047619,0.8333333333333334,0.07552083333333333,0.0
chirp,psk,frequency_drift,not_reached,0,7,0.5290178571428571,0.47098214285714285,0.0,0.5377604166666666,0.5221354166666666
chirp,psk,multipath_echo,-8.0,5,7,0.016927083333333332,0.9830729166666666,0.7380952380952381,0.09765625,0.0
chirp,psk,narrowband_interference,-8.0,5,7,0.013950892857142858,0.9860491071428571,0.7619047619047619,0.08333333333333333,0.0
chirp,psk,phase_jitter,-12.0,6,7,0.013950892857142858,0.9860491071428571,0.8333333333333334,0.08854166666666667,0.0
chirp,psk,timing_offset,not_reached,0,7,0.9488467261904763,0.0511532738095238,0.0,1.0,0.7903645833333334
pulse,psk,attenuation,not_reached,0,7,0.25892857142857145,0.7410714285714286,0.0,0.2864583333333333,0.22005208333333334
pulse,psk,baseline_awgn,not_reached,0,7,0.24479166666666669,0.7552083333333333,0.0,0.26953125,0.22786458333333334
pulse,psk,frequency_drift,not_reached,0,7,0.3818824404761904,0.6181175595238095,0.0,0.4596354166666667,0.3151041666666667
pulse,psk,multipath_echo,not_reached,0,7,0.2566964285714286,0.7433035714285714,0.0,0.2916666666666667,0.23177083333333334
pulse,psk,narrowband_interference,not_reached,0,7,0.24069940476190474,0.7593005952380952,0.0,0.2799479166666667,0.20182291666666666
pulse,psk,phase_jitter,not_reached,0,7,0.2620907738095238,0.7379092261904763,0.0,0.28125,0.234375
pulse,psk,timing_offset,not_reached,0,7,0.599516369047619,0.40048363095238093,0.0,0.671875,0.5143229166666666
sine,psk,attenuation,-12.0,6,7,0.012276785714285714,0.9877232142857143,0.8571428571428571,0.08333333333333333,0.0
sine,psk,baseline_awgn,-8.0,5,7,0.015438988095238096,0.984561011904762,0.8095238095238094,0.09635416666666667,0.0
sine,psk,frequency_drift,not_reached,0,7,0.44661458333333337,0.5533854166666666,0.0,0.4674479166666667,0.4348958333333333
sine,psk,multipath_echo,-8.0,5,7,0.014508928571428572,0.9854910714285714,0.8095238095238094,0.09114583333333333,0.0
sine,psk,narrowband_interference,-8.0,5,7,0.013950892857142858,0.9860491071428571,0.7619047619047619,0.08203125,0.0
sine,psk,phase_jitter,-8.0,5,7,0.01246279761904762,0.9875372023809524,0.7380952380952381,0.06901041666666667,0.0
sine,psk,timing_offset,not_reached,0,7,0.8796502976190476,0.12034970238095237,0.0,1.0,0.65234375
square,fsk,attenuation,-4.0,4,7,0.05710565476190476,0.9428943452380951,0.6428571428571429,0.2643229166666667,0.0
