waveform,modulation,stress_profile,raw_threshold_snr_db,sync_threshold_snr_db,threshold_improvement_db,raw_average_ber,sync_average_ber,ber_improvement,raw_usable_points,sync_usable_points
chirp,fsk,baseline_awgn,-4.0,-8.0,4.0,0.003125,0.0015625,0.0015625,4,5
chirp,fsk,combined_sync_stress,not_reached,not_reached,not_reached,0.10390625,0.12109375,-0.017187499999999994,0,0
chirp,fsk,frequency_drift,not_reached,not_reached,not_reached,0.08828125,0.09296875,-0.004687499999999997,0,0
chirp,fsk,timing_offset,8.0,8.0,0.0,0.071875,0.0421875,0.02968749999999999,1,1
chirp,psk,baseline_awgn,-8.0,-8.0,0.0,0.0,0.0,0.0,5,5
chirp,psk,combined_sync_stress,not_reached,not_reached,not_reached,0.19609375,0.359375,-0.16328125,0,0
chirp,psk,frequency_drift,not_reached,not_reached,not_reached,0.65703125,0.65546875,0.0015624999999999112,0,0
chirp,psk,timing_offset,not_reached,0.0,recovered_from_not_reached,0.99921875,0.0390625,0.96015625,0,3
pulse,psk,baseline_awgn,not_reached,not_reached,not_reached,0.25390625,0.278125,-0.02421875000000001,0,0
pulse,psk,combined_sync_stress,not_reached,not_reached,not_reached,0.55546875,0.378125,0.17734374999999997,0,0
pulse,psk,frequency_drift,not_reached,not_reached,not_reached,0.38046875,0.31015625,0.0703125,0,0
pulse,psk,timing_offset,not_reached,not_reached,not_reached,0.6265625,0.315625,0.31093750000000003,0,0
sine,psk,baseline_awgn,-8.0,-8.0,0.0,0.0,0.00078125,-0.00078125,5,5
sine,psk,combined_sync_stress,not_reached,not_reached,not_reached,0.42421875,0.203125,0.22109374999999998,0,0
sine,psk,frequency_drift,not_reached,not_reached,not_reached,0.56953125,0.56796875,0.0015625000000000222,0,0
sine,psk,timing_offset,not_reached,4.0,recovered_from_not_reached,0.99921875,0.03125,0.96796875,0,2
square,psk,baseline_awgn,-8.0,-8.0,0.0,0.00078125,0.0,0.00078125,5,5
square,psk,combined_sync_stress,not_reached,not_reached,not_reached,0.42265625,0.24609375,0.1765625,0,0
square,psk,frequency_drift,not_reached,not_reached,not_reached,0.58515625,0.5796875,0.005468750000000022,0,0
square,psk,timing_offset,not_reached,not_reached,not_reached,0.99921875,0.08359375,0.915625,0,0
triangle,psk,baseline_awgn,-8.0,-8.0,0.0,0.0,0.0,0.0,5,5
triangle,psk,combined_sync_stress,not_reached,not_reached,not_reached,0.4140625,0.203125,0.2109375,0,0
triangle,psk,frequency_drift,not_reached,not_reached,not_reached,0.5859375,0.58203125,0.00390625,0,0
triangle,psk,timing_offset,not_reached,4.0,recovered_from_not_reached,1.0,0.02578125,0.97421875,0,2
