waveform,modulation,receiver_mode,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_preamble_match_rate_all_snr,worst_ber,best_ber
chirp,fsk,raw_no_sync,baseline_awgn,-4.0,4,5,0.003125,0.996875,0.9,1.0,0.015625,0.0
chirp,fsk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.10390625,0.89609375,0.0,0.0,0.21875,0.046875
chirp,fsk,raw_no_sync,frequency_drift,not_reached,0,5,0.08828125,0.91171875,0.0,0.9,0.16015625,0.04296875
chirp,fsk,raw_no_sync,timing_offset,8.0,1,5,0.071875,0.928125,0.3,0.6,0.18359375,0.0
chirp,fsk,sync_recovered,baseline_awgn,-8.0,5,5,0.0015625,0.9984375,1.0,1.0,0.0078125,0.0
chirp,fsk,sync_recovered,combined_sync_stress,not_reached,0,5,0.12109375,0.87890625,0.0,0.9,0.1953125,0.078125
chirp,fsk,sync_recovered,frequency_drift,not_reached,0,5,0.09296875,0.90703125,0.0,1.0,0.18359375,0.03125
chirp,fsk,sync_recovered,timing_offset,8.0,1,5,0.0421875,0.9578125,0.3,1.0,0.078125,0.0
chirp,psk,raw_no_sync,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
chirp,psk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.19609375,0.80390625,0.0,0.0,0.21484375,0.1796875
chirp,psk,raw_no_sync,frequency_drift,not_reached,0,5,0.65703125,0.34296875,0.0,1.0,0.6640625,0.6484375
chirp,psk,raw_no_sync,timing_offset,not_reached,0,5,0.99921875,0.00078125,0.0,0.0,1.0,0.99609375
chirp,psk,sync_recovered,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
chirp,psk,sync_recovered,combined_sync_stress,not_reached,0,5,0.359375,0.640625,0.0,1.0,0.49609375,0.29296875
chirp,psk,sync_recovered,frequency_drift,not_reached,0,5,0.65546875,0.34453125,0.0,1.0,0.671875,0.64453125
chirp,psk,sync_recovered,timing_offset,0.0,3,5,0.0390625,0.9609375,0.7,1.0,0.15625,0.0
pulse,psk,raw_no_sync,baseline_awgn,not_reached,0,5,0.25390625,0.74609375,0.0,0.0,0.26953125,0.234375
pulse,psk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.55546875,0.44453125,0.0,0.0,0.58984375,0.5
pulse,psk,raw_no_sync,frequency_drift,not_reached,0,5,0.38046875,0.61953125,0.0,0.0,0.4609375,0.328125
pulse,psk,raw_no_sync,timing_offset,not_reached,0,5,0.6265625,0.3734375,0.0,0.0,0.7109375,0.57421875
pulse,psk,sync_recovered,baseline_awgn,not_reached,0,5,0.278125,0.721875,0.0,0.0,0.3203125,0.24609375
pulse,psk,sync_recovered,combined_sync_stress,not_reached,0,5,0.378125,0.621875,0.0,0.0,0.42578125,0.33203125
pulse,psk,sync_recovered,frequency_drift,not_reached,0,5,0.31015625,0.68984375,0.0,0.0,0.34375,0.26953125
pulse,psk,sync_recovered,timing_offset,not_reached,0,5,0.315625,0.684375,0.0,0.0,0.4453125,0.25390625
sine,psk,raw_no_sync,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
sine,psk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.42421875,0.57578125,0.0,0.0,0.44140625,0.4140625
sine,psk,raw_no_sync,frequency_drift,not_reached,0,5,0.56953125,0.43046875,0.0,1.0,0.58203125,0.55859375
sine,psk,raw_no_sync,timing_offset,not_reached,0,5,0.99921875,0.00078125,0.0,0.0,1.0,0.99609375
sine,psk,sync_recovered,baseline_awgn,-8.0,5,5,0.00078125,0.99921875,1.0,1.0,0.00390625,0.0
sine,psk,sync_recovered,combined_sync_stress,not_reached,0,5,0.203125,0.796875,0.0,1.0,0.37109375,0.125
sine,psk,sync_recovered,frequency_drift,not_reached,0,5,0.56796875,0.43203125,0.0,1.0,0.578125,0.5546875
sine,psk,sync_recovered,timing_offset,4.0,2,5,0.03125,0.96875,0.5,1.0,0.12890625,0.0
square,psk,raw_no_sync,baseline_awgn,-8.0,5,5,0.00078125,0.99921875,1.0,1.0,0.00390625,0.0
square,psk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.42265625,0.57734375,0.0,0.0,0.4375,0.3984375
square,psk,raw_no_sync,frequency_drift,not_reached,0,5,0.58515625,0.41484375,0.0,1.0,0.60546875,0.56640625
square,psk,raw_no_sync,timing_offset,not_reached,0,5,0.99921875,0.00078125,0.0,0.0,1.0,0.99609375
square,psk,sync_recovered,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
square,psk,sync_recovered,combined_sync_stress,not_reached,0,5,0.24609375,0.75390625,0.0,1.0,0.3359375,0.1015625
square,psk,sync_recovered,frequency_drift,not_reached,0,5,0.5796875,0.4203125,0.0,1.0,0.5859375,0.5703125
square,psk,sync_recovered,timing_offset,not_reached,0,5,0.08359375,0.91640625,0.2,1.0,0.12109375,0.03125
triangle,psk,raw_no_sync,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
triangle,psk,raw_no_sync,combined_sync_stress,not_reached,0,5,0.4140625,0.5859375,0.0,0.0,0.421875,0.40625
triangle,psk,raw_no_sync,frequency_drift,not_reached,0,5,0.5859375,0.4140625,0.0,0.9,0.59375,0.578125
triangle,psk,raw_no_sync,timing_offset,not_reached,0,5,1.0,0.0,0.0,0.0,1.0,1.0
triangle,psk,sync_recovered,baseline_awgn,-8.0,5,5,0.0,1.0,1.0,1.0,0.0,0.0
triangle,psk,sync_recovered,combined_sync_stress,not_reached,0,5,0.203125,0.796875,0.0,1.0,0.37890625,0.15234375
triangle,psk,sync_recovered,frequency_drift,not_reached,0,5,0.58203125,0.41796875,0.0,1.0,0.6015625,0.55859375
triangle,psk,sync_recovered,timing_offset,4.0,2,5,0.02578125,0.97421875,0.6,1.0,0.10546875,0.0
