waveform,modulation,stress_profile,raw_average_ber,coarse_average_ber,adaptive_average_ber,adaptive_vs_raw_ber_improvement,adaptive_vs_coarse_ber_improvement,raw_threshold_snr_db,coarse_threshold_snr_db,adaptive_threshold_snr_db,adaptive_preamble_match_rate,adaptive_abs_frequency_error_ppm
chirp,fsk,baseline_awgn,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,1.0,0.0
chirp,fsk,combined_drift_timing,0.08984375,0.06640625,0.08203125,0.0078125,-0.015625,not_reached,8.0,8.0,1.0,375.0
chirp,fsk,moderate_negative_drift,0.0859375,0.08203125,0.06640625,0.01953125,0.015625,not_reached,not_reached,not_reached,1.0,450.0
chirp,fsk,moderate_positive_drift,0.068359375,0.04296875,0.091796875,-0.0234375,-0.048828125,not_reached,not_reached,not_reached,1.0,450.0
chirp,fsk,severe_positive_drift,0.091796875,0.08984375,0.076171875,0.015625,0.013671875,not_reached,not_reached,not_reached,1.0,750.0
chirp,psk,baseline_awgn,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,1.0,0.0
chirp,psk,combined_drift_timing,0.197265625,0.353515625,0.37109375,-0.173828125,-0.017578125,not_reached,not_reached,not_reached,1.0,525.0
chirp,psk,moderate_negative_drift,0.6484375,0.646484375,0.6640625,-0.015625,-0.017578125,not_reached,not_reached,not_reached,1.0,450.0
chirp,psk,moderate_positive_drift,0.6484375,0.646484375,0.65234375,-0.00390625,-0.005859375,not_reached,not_reached,not_reached,1.0,450.0
chirp,psk,severe_positive_drift,0.564453125,0.560546875,0.5546875,0.009765625,0.005859375,not_reached,not_reached,not_reached,1.0,750.0
sine,psk,baseline_awgn,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,1.0,0.0
sine,psk,combined_drift_timing,0.42578125,0.15234375,0.138671875,0.287109375,0.013671875,not_reached,not_reached,not_reached,1.0,450.0
sine,psk,moderate_negative_drift,0.580078125,0.568359375,0.5703125,0.009765625,-0.001953125,not_reached,not_reached,not_reached,1.0,450.0
sine,psk,moderate_positive_drift,0.58203125,0.58203125,0.556640625,0.025390625,0.025390625,not_reached,not_reached,not_reached,1.0,450.0
sine,psk,severe_positive_drift,0.66796875,0.646484375,0.65234375,0.015625,-0.005859375,not_reached,not_reached,not_reached,1.0,750.0
square,psk,baseline_awgn,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,1.0,0.0
square,psk,combined_drift_timing,0.423828125,0.220703125,0.3125,0.111328125,-0.091796875,not_reached,not_reached,not_reached,1.0,675.0
square,psk,moderate_negative_drift,0.548828125,0.556640625,0.5625,-0.013671875,-0.005859375,not_reached,not_reached,not_reached,1.0,450.0
square,psk,moderate_positive_drift,0.572265625,0.58203125,0.580078125,-0.0078125,0.001953125,not_reached,not_reached,not_reached,1.0,450.0
square,psk,severe_positive_drift,0.66796875,0.673828125,0.669921875,-0.001953125,0.00390625,not_reached,not_reached,not_reached,1.0,750.0
triangle,psk,baseline_awgn,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,1.0,0.0
triangle,psk,combined_drift_timing,0.412109375,0.20703125,0.150390625,0.26171875,0.056640625,not_reached,not_reached,not_reached,1.0,450.0
triangle,psk,moderate_negative_drift,0.58203125,0.5859375,0.583984375,-0.001953125,0.001953125,not_reached,not_reached,not_reached,1.0,450.0
triangle,psk,moderate_positive_drift,0.591796875,0.58203125,0.59765625,-0.005859375,-0.015625,not_reached,not_reached,not_reached,1.0,450.0
triangle,psk,severe_positive_drift,0.662109375,0.65625,0.662109375,0.0,-0.005859375,not_reached,not_reached,not_reached,1.0,750.0
