waveform,modulation,receiver_mode,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_sync_ber_all_snr,average_preamble_match_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_correction_error_ppm,worst_ber,best_ber
chirp,fsk,pilot_tracking,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
chirp,fsk,pilot_tracking,combined_drift_timing,not_reached,0,4,0.0517578125,0.9482421875,0.25,0.0,1.0,1.0,300.0,0.09375,0.01953125
chirp,fsk,pilot_tracking,moderate_negative_drift,-4.0,2,4,0.015625,0.984375,0.625,0.0,1.0,1.0,175.0,0.0546875,0.0
chirp,fsk,pilot_tracking,moderate_positive_drift,not_reached,0,4,0.05078125,0.94921875,0.25,0.0,1.0,1.0,487.5,0.0703125,0.0234375
chirp,fsk,pilot_tracking,severe_positive_drift,not_reached,0,4,0.07421875,0.92578125,0.125,0.0,1.0,1.0,812.5,0.08984375,0.0546875
chirp,fsk,preamble_only,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
chirp,fsk,preamble_only,combined_drift_timing,not_reached,0,4,0.0947265625,0.9052734375,0.0,0.053125,1.0,0.625,362.5,0.1328125,0.046875
chirp,fsk,preamble_only,moderate_negative_drift,not_reached,0,4,0.0673828125,0.9326171875,0.0,0.05625,1.0,0.5,450.0,0.109375,0.04296875
chirp,fsk,preamble_only,moderate_positive_drift,not_reached,0,4,0.0576171875,0.9423828125,0.0,0.05,1.0,0.5,450.0,0.11328125,0.02734375
chirp,fsk,preamble_only,severe_positive_drift,not_reached,0,4,0.08203125,0.91796875,0.0,0.078125,1.0,0.3333333333333333,750.0,0.15234375,0.046875
chirp,psk,pilot_tracking,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
chirp,psk,pilot_tracking,combined_drift_timing,0.0,3,4,0.001953125,0.998046875,0.875,0.0,1.0,1.0,237.5,0.0078125,0.0
chirp,psk,pilot_tracking,moderate_negative_drift,0.0,3,4,0.009765625,0.990234375,0.875,0.0,1.0,1.0,137.5,0.02734375,0.0
chirp,psk,pilot_tracking,moderate_positive_drift,8.0,1,4,0.015625,0.984375,0.5,0.0,1.0,1.0,150.0,0.0390625,0.0
chirp,psk,pilot_tracking,severe_positive_drift,4.0,2,4,0.005859375,0.994140625,0.625,0.0,1.0,1.0,150.0,0.015625,0.0
chirp,psk,preamble_only,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
chirp,psk,preamble_only,combined_drift_timing,not_reached,0,4,0.435546875,0.564453125,0.0,0.20625,1.0,0.5833333333333333,450.0,0.44921875,0.421875
chirp,psk,preamble_only,moderate_negative_drift,not_reached,0,4,0.712890625,0.287109375,0.0,0.4,1.0,0.3333333333333333,450.0,0.71484375,0.70703125
chirp,psk,preamble_only,moderate_positive_drift,not_reached,0,4,0.7099609375,0.2900390625,0.0,0.40937499999999993,1.0,0.20833333333333331,450.0,0.71875,0.69921875
chirp,psk,preamble_only,severe_positive_drift,not_reached,0,4,0.4345703125,0.5654296875,0.0,0.4,1.0,0.3333333333333333,750.0,0.44140625,0.4296875
sine,psk,pilot_tracking,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
sine,psk,pilot_tracking,combined_drift_timing,-4.0,1,4,0.0322265625,0.9677734375,0.25,0.0,1.0,1.0,287.5,0.05078125,0.0
sine,psk,pilot_tracking,moderate_negative_drift,-4.0,4,4,0.001953125,0.998046875,1.0,0.0,1.0,1.0,150.0,0.0078125,0.0
sine,psk,pilot_tracking,moderate_positive_drift,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,150.0,0.0,0.0
sine,psk,pilot_tracking,severe_positive_drift,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,150.0,0.0,0.0
sine,psk,preamble_only,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
sine,psk,preamble_only,combined_drift_timing,not_reached,0,4,0.3544921875,0.6455078125,0.0,0.21562499999999996,1.0,0.5833333333333333,425.0,0.59765625,0.26953125
sine,psk,preamble_only,moderate_negative_drift,not_reached,0,4,0.6416015625,0.3583984375,0.0,0.4,1.0,0.3333333333333333,450.0,0.65625,0.62890625
