rank,variant_id,waveform,modulation,preamble_length_bits,pilot_length_bits,payload_chunk_bits,stress_profiles_tested,profiles_passed,not_reached_count,median_threshold_snr_db,best_threshold_snr_db,total_usable_snr_points,average_ber_all_conditions,average_accuracy_all_conditions,average_pilot_match_rate_all_conditions,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count,efficiency_score,meets_target
1,1,chirp,psk,8,4,32,5,5,0,-4.0,-4.0,15,0.0,1.0,1.0,40.0,0.13513513513513514,20.0,148.0,0.006756756756756757,True
2,7,chirp,psk,16,4,32,5,5,0,-4.0,-4.0,15,0.0,1.0,1.0,40.0,0.1794871794871795,28.0,156.0,0.008974358974358975,True
3,4,chirp,psk,8,8,32,5,5,0,-4.0,-4.0,14,0.0010416666666666667,0.9989583333333332,1.0,40.0,0.20000000000000004,32.0,160.0,0.011041666666666668,True
4,4,sine,psk,8,8,32,5,5,0,-4.0,-4.0,14,0.0015625,0.9984375,1.0,60.0,0.20000000000000004,32.0,160.0,0.011562500000000002,True
5,4,square,psk,8,8,32,5,5,0,-4.0,-4.0,13,0.005208333333333334,0.9947916666666667,1.0,60.0,0.20000000000000004,32.0,160.0,0.015208333333333336,True
6,10,chirp,psk,16,8,32,5,5,0,-4.0,-4.0,15,0.0,1.0,1.0,40.0,0.23809523809523805,40.0,168.0,0.011904761904761904,True
7,10,sine,psk,16,8,32,5,5,0,-4.0,-4.0,14,0.003125,0.996875,1.0,60.0,0.23809523809523805,40.0,168.0,0.015029761904761903,True
8,1,square,psk,8,4,32,5,5,0,-4.0,-4.0,13,0.01875,0.98125,1.0,113.33333333333334,0.13513513513513514,20.0,148.0,0.025506756756756756,False
9,7,sine,psk,16,4,32,5,5,0,-4.0,-4.0,13,0.0171875,0.9828125,1.0,66.66666666666667,0.1794871794871795,28.0,156.0,0.02616185897435898,False
10,2,square,psk,8,4,64,5,4,1,-4.0,-4.0,9,0.12864583333333335,0.8713541666666667,1.0,280.0,0.0857142857142857,12.0,140.0,0.38293154761904763,False
11,1,sine,psk,8,4,32,5,4,1,-4.0,-4.0,12,0.034375,0.965625,1.0,120.0,0.13513513513513514,20.0,148.0,0.29113175675675673,False
12,7,square,psk,16,4,32,5,4,1,-4.0,-4.0,12,0.03958333333333333,0.9604166666666668,1.0,120.0,0.1794871794871795,28.0,156.0,0.2985576923076923,False
13,10,square,psk,16,8,32,5,4,1,-4.0,-4.0,12,0.0125,0.9875,1.0,80.0,0.23809523809523805,40.0,168.0,0.27440476190476193,False
14,2,sine,psk,8,4,64,5,3,2,-4.0,-4.0,9,0.09895833333333334,0.9010416666666667,1.0,180.0,0.0857142857142857,12.0,140.0,0.6032440476190476,False
15,2,chirp,psk,8,4,64,5,3,2,-4.0,-4.0,9,0.16302083333333334,0.8369791666666668,1.0,366.66666666666663,0.0857142857142857,12.0,140.0,0.6673065476190476,False
16,5,sine,psk,8,8,64,5,3,2,-4.0,-4.0,9,0.12395833333333332,0.8760416666666668,1.0,260.0,0.11111111111111112,16.0,144.0,0.6295138888888889,False
17,5,square,psk,8,8,64,5,3,2,-4.0,-4.0,9,0.1296875,0.8703125,1.0,340.0,0.11111111111111112,16.0,144.0,0.6352430555555556,False
18,5,chirp,psk,8,8,64,5,3,2,-4.0,-4.0,9,0.15572916666666667,0.8442708333333334,1.0,313.33333333333337,0.11111111111111112,16.0,144.0,0.6612847222222222,False
19,8,square,psk,16,4,64,5,3,2,-4.0,-4.0,9,0.10260416666666668,0.8973958333333332,1.0,173.33333333333334,0.13513513513513514,20.0,148.0,0.6093609234234234,False
20,8,sine,psk,16,4,64,5,3,2,-4.0,-4.0,9,0.1359375,0.8640625,1.0,260.0,0.13513513513513514,20.0,148.0,0.6426942567567567,False
21,8,chirp,psk,16,4,64,5,3,2,-4.0,-4.0,9,0.18854166666666666,0.8114583333333334,1.0,340.0,0.13513513513513514,20.0,148.0,0.6952984234234234,False
22,11,square,psk,16,8,64,5,3,2,-4.0,-4.0,9,0.13229166666666667,0.8677083333333334,1.0,260.0,0.15789473684210525,24.0,152.0,0.6401864035087719,False
23,11,sine,psk,16,8,64,5,3,2,-4.0,-4.0,9,0.1421875,0.8578125,1.0,333.33333333333337,0.15789473684210525,24.0,152.0,0.6500822368421053,False
24,11,chirp,psk,16,8,64,5,3,2,-4.0,-4.0,9,0.20416666666666666,0.7958333333333334,1.0,340.0,0.15789473684210525,24.0,152.0,0.7120614035087719,False
25,3,sine,psk,8,4,128,5,1,4,-4.0,-4.0,3,0.3473958333333333,0.6526041666666667,1.0,420.0,0.0588235294117647,8.0,136.0,1.3503370098039216,False
26,6,sine,psk,8,8,128,5,1,4,-4.0,-4.0,3,0.3473958333333334,0.6526041666666667,1.0,420.0,0.0588235294117647,8.0,136.0,1.3503370098039216,False
27,6,square,psk,8,8,128,5,1,4,-4.0,-4.0,3,0.3609375,0.6390624999999999,1.0,393.33333333333337,0.0588235294117647,8.0,136.0,1.3638786764705881,False
28,3,chirp,psk,8,4,128,5,1,4,-4.0,-4.0,3,0.3921875,0.6078125,1.0,420.0,0.0588235294117647,8.0,136.0,1.3951286764705881,False
29,6,chirp,psk,8,8,128,5,1,4,-4.0,-4.0,3,0.39375,0.60625,1.0,420.0,0.0588235294117647,8.0,136.0,1.3966911764705883,False
30,3,square,psk,8,4,128,5,1,4,-4.0,-4.0,3,0.4046875,0.5953125000000001,1.0,420.0,0.0588235294117647,8.0,136.0,1.4076286764705883,False
31,9,sine,psk,16,4,128,5,1,4,-4.0,-4.0,3,0.3911458333333333,0.6088541666666667,1.0,420.0,0.11111111111111112,16.0,144.0,1.3967013888888888,False
32,12,square,psk,16,8,128,5,1,4,-4.0,-4.0,3,0.3989583333333334,0.6010416666666666,1.0,393.33333333333337,0.11111111111111112,16.0,144.0,1.4045138888888888,False
33,12,sine,psk,16,8,128,5,1,4,-4.0,-4.0,3,0.4083333333333333,0.5916666666666666,1.0,446.6666666666667,0.11111111111111112,16.0,144.0,1.4138888888888888,False
34,9,square,psk,16,4,128,5,1,4,-4.0,-4.0,3,0.4125,0.5875,1.0,446.6666666666667,0.11111111111111112,16.0,144.0,1.4180555555555556,False
35,12,chirp,psk,16,8,128,5,1,4,-4.0,-4.0,3,0.4302083333333334,0.5697916666666666,1.0,420.0,0.11111111111111112,16.0,144.0,1.4357638888888888,False
36,9,chirp,psk,16,4,128,5,1,4,-4.0,-4.0,3,0.43489583333333337,0.5651041666666666,1.0,420.0,0.11111111111111112,16.0,144.0,1.440451388888889,False
