variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
1,8,4,32,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
1,8,4,32,chirp,psk,combined_drift_timing,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,chirp,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
1,8,4,32,sine,psk,combined_drift_timing,not_reached,0,3,0.171875,0.828125,0.0,1.0,450.0,0.13513513513513514,20.0,148.0
1,8,4,32,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,sine,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.13513513513513514,20.0,148.0
1,8,4,32,square,psk,combined_drift_timing,-4.0,1,3,0.09375,0.90625,0.3333333333333333,1.0,416.6666666666667,0.13513513513513514,20.0,148.0
1,8,4,32,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
1,8,4,32,square,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.13513513513513514,20.0,148.0
2,8,4,64,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.0857142857142857,12.0,140.0
2,8,4,64,chirp,psk,combined_drift_timing,not_reached,0,3,0.2682291666666667,0.7317708333333334,0.0,1.0,450.0,0.0857142857142857,12.0,140.0
2,8,4,64,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.0857142857142857,12.0,140.0
