variant_id,protocol_label,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_ber_ci95_upper_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,attenuation,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,baseline_awgn,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,-4.0,4,5,0.002734375,0.005323206234340494,0.997265625,0.925,1.0,50.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-8.0,5,5,0.00029296875,0.0006957673399945064,0.99970703125,1.0,1.0,50.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_positive_drift,-8.0,5,5,0.00029296875,0.0005731588100067077,0.99970703125,1.0,1.0,50.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,multipath_echo,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,0.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,narrowband_interference,-8.0,5,5,0.0001953125,0.00044592210831789753,0.9998046875,1.0,1.0,0.0,0.12328767123287672,36.0,292.0
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,-8.0,5,5,0.0005859375,0.0011463176200134154,0.9994140625,0.975,1.0,50.0,0.12328767123287672,36.0,292.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,attenuation,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,baseline_awgn,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,combined_drift_timing,-4.0,4,5,0.00146484375,0.0025598357929141257,0.99853515625,0.925,1.0,50.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,moderate_negative_drift,-8.0,5,5,0.00029296875,0.0005731588100067077,0.99970703125,1.0,1.0,50.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,moderate_positive_drift,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,50.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,multipath_echo,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,narrowband_interference,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.14666666666666667,44.0,300.0
2,chirp_psk_p16_pi4_c32,16,4,32,chirp,psk,severe_positive_drift,-8.0,5,5,0.00029296875,0.0006957673399945064,0.99970703125,1.0,1.0,50.0,0.14666666666666667,44.0,300.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,attenuation,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,baseline_awgn,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,0.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,combined_drift_timing,0.0,3,5,0.0123046875,0.016013657923626655,0.9876953125,0.725,0.9321428571428572,50.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,moderate_negative_drift,-8.0,5,5,0.0001953125,0.000578125,0.9998046875,1.0,1.0,50.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,moderate_positive_drift,-8.0,5,5,0.00029296875,0.0005731588100067077,0.99970703125,1.0,1.0,50.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,multipath_echo,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,0.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,narrowband_interference,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,0.0,0.2,64.0,320.0
3,sine_psk_p8_pi8_c32,8,8,32,sine,psk,severe_positive_drift,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,50.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,attenuation,-8.0,5,5,9.765625e-05,0.0002890625,0.99990234375,1.0,1.0,0.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,baseline_awgn,-8.0,5,5,0.0,0.0,1.0,1.0,0.9964285714285716,0.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,combined_drift_timing,not_reached,0,5,0.03994140625,0.046425685547340174,0.96005859375,0.225,0.8428571428571429,50.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,moderate_negative_drift,-8.0,5,5,0.00068359375,0.0012931815533877174,0.99931640625,0.975,1.0,50.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,moderate_positive_drift,-8.0,5,5,0.001171875,0.001673094216635795,0.998828125,0.975,1.0,50.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,multipath_echo,-8.0,5,5,0.0001953125,0.000578125,0.9998046875,1.0,1.0,0.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,narrowband_interference,-8.0,5,5,0.0,0.0,1.0,1.0,1.0,0.0,0.2,64.0,320.0
4,square_psk_p8_pi8_c32,8,8,32,square,psk,severe_positive_drift,-8.0,5,5,0.00029296875,0.0006957673399945064,0.99970703125,1.0,1.0,50.0,0.2,64.0,320.0
